placeDcid,placeName,Date:Count_Person_BelowPovertyLevelInThePast12Months,Value:Count_Person_BelowPovertyLevelInThePast12Months,Source:Count_Person_BelowPovertyLevelInThePast12Months
zip/19102,19102,2020,778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19103,19103,2020,2230,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19104,19104,2020,16652,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19106,19106,2020,744,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19107,19107,2020,2843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19109,19109,2020,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19111,19111,2020,10836,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19112,19112,2020,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19114,19114,2020,2657,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19115,19115,2020,3489,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19116,19116,2020,4699,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19119,19119,2020,2313,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19120,19120,2020,23050,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19121,19121,2020,13660,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19122,19122,2020,5430,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19123,19123,2020,2904,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19124,19124,2020,23705,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19125,19125,2020,3779,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19126,19126,2020,2905,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19127,19127,2020,934,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19128,19128,2020,3395,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19129,19129,2020,1676,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19130,19130,2020,2739,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19131,19131,2020,12426,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19132,19132,2020,10633,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19133,19133,2020,10688,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19134,19134,2020,24376,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19135,19135,2020,7576,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19136,19136,2020,5976,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19137,19137,2020,1298,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19138,19138,2020,7194,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19139,19139,2020,13784,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19140,19140,2020,22567,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19141,19141,2020,8378,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19142,19142,2020,9641,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19143,19143,2020,16754,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19144,19144,2020,13053,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19145,19145,2020,6788,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19146,19146,2020,5398,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19147,19147,2020,3528,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19148,19148,2020,10286,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19149,19149,2020,11741,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19151,19151,2020,6732,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19152,19152,2020,6266,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19153,19153,2020,2412,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/19154,19154,2020,2454,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
